text,label,reason,current_label,category,video_id,ts
chat ta com delay dms,1,chatgpt,0,,V580YrkHCB8,2026-03-01T22:19:48.871-03:00
se for chorar manda áudio,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:28:59.500-03:00
TA ATRASADO O SINAL,1,chatgpt,0,,V580YrkHCB8,2026-03-01T21:17:57.913-03:00
O CARA CAIU SOZINHO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:14:32.189-03:00
"Converseiro besta danado. Obrigam a pessoa a assistir com a TV sem som, quando não é like, é inscrição, é bet, é o caraleo.",0,chatgpt,1,AUDIO,V580YrkHCB8,2026-03-01T20:14:57.443-03:00
PIX CAIU RAPÍDO NA CONTA,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:26:00.718-03:00
AGORA TÁ EXPLICADO PORQUE CAIU O PIPA DOS GAMBAS...,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:57:24.714-03:00
A moeda vai cair em pé,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:14:28.847-03:00
ta sem audio pro jogo,1,chatgpt,1,ÁUDIO,V580YrkHCB8,2026-03-01T19:02:56.492-03:00
"Áudio do lado direito do iPhone estourado, e do lado direito baixo, arruma aí transmissão?!!!!!!!!!!!!!!!!",1,chatgpt,0,,V580YrkHCB8,2026-03-01T20:27:52.796-03:00
cuidado pra o diencia pra vcs não cair em,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:49:33.857-03:00
LIBERA O ÁUDIO PARA OS TORCEDORES DO SP MANDAR O CHORO,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:32:10.185-03:00
esse papo palmeiras freques do São paulo ja caiu pro terra,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:30:43.850-03:00
toda hora q o roque cair vai ser falta?,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:59:16.303-03:00
O pix caiu kkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:48:50.644-03:00
se for chorar manda áudio não aceito ligação,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:45:11.195-03:00
"Cazé tv tá com delay gigantesco, gol na Record saindo bem antes",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:10:10.898-03:00
olha esse áudio mannn kkkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:09:24.988-03:00
"Esse jogo tá na conta do Lucas que ficou com medo, do Luciano que esqueceu de jogar e da Daiane que recebeu o pix e não marcou esse pênalti claro. Pix caiu, var sumiu",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:56:58.967-03:00
CAIU O PIX,0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:30:24.872-03:00
pix caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:48:51.532-03:00
era melhor colocar um som no fundo kkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:38:36.472-03:00
bet365 bugada pra fazer aposta no jg,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:28:19.277-03:00
SE FOR CHORAR MANDA AUDIO!! O TIME DE VOCES NAO FAZ NADA ASUHSAUHASUHUASHUSAHUSAUSA,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:49:03.496-03:00
Ueh esse pipa não é do Eliminado que caiu??,0,chatgpt,0,,V580YrkHCB8,2026-03-01T20:57:55.487-03:00
"Djalma clubista. Esse jogo tá na conta do Lucas que ficou com medo, do Luciano que esqueceu de jogar e da Daiane que recebeu o pix e não marcou esse pênalti claro. Pix caiu, var sumiu",0,chatgpt,0,,V580YrkHCB8,2026-03-01T22:58:10.313-03:00
Pix n caiu,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:59:56.928-03:00
mande áudio mande áudio kkkkkkkkkkkkk,0,chatgpt,0,,V580YrkHCB8,2026-03-01T21:57:42.768-03:00
