text,label
pra mim tá bom sempre isso,0
sem audio aqui também,1
socorro travou de vez,1
a live caiu de novo de novo,1
não tem mais áudio mano,1
time bom cara,0
juiz horrível!!!,0
som ruim demais horrível,1
voltou,0
áudio estourado,1
show,0
tá congelando 😤,1
socorro tô sem áudio,1
só eu melhor jogo do ano?,0
fica no loading aqui tb,1
travando de novo,1
audio sumiu,1
áudio duplicado pessoal,1
silêncio total,1
❤️ 😭,0
áudio adiantado aqui tb,1
não abre a live 😤,1
áudio gaguejando de novo,1
não carrega gente,1
😂😂...,0
ué já começou?,0
cheio de pixel 😭,1
não carrega??,1
esse juiz é roubado,0
alguém mais tá travando?,1
ué som distorcido,1
era pênalti sempre isso,0
olha o goleiro 😤,0
sem narração,1
mano que jogo chato,0
kkkkkkkk,0
vídeo congelou,1
som duplicado,1
gente o som tá uns 2 segundos atrás,1
só tela preta mano,1
o círculo fica girando,1
dá erro aqui pra mim também,1
resolução caiu pra mim também,1
não tem mais som tbm,1
que cena kkk,0
boa!,0
imagem pixelada,1
💪💪,0
melhor gol do ano mano,0
aqui tá liso que isso,0
buffering pqp,1
talvez,0
ué ficou sem som,1
hauhauha,0
sem narrador kkk,1
socorro o que houve?,0
não foi falta aqui tb,0
todo mundo áudio horrível,1
mano!!!,0
audio cortando que isso,1
som caiu mano,1
desfocado demais sempre isso,1
melhor jogo do ano pessoal,0
quando retorna? aqui também,0
aqui tá perfeito,0
kkkkkkkkkkk absurdo,0
boca e voz não tão sincronizados pessoal,1
que lindo aqui também,0
o som fica sumindo,1
frango do goleiro frango do goleiro,0
o meu tá normal 😤,0
a transmissão ficou tela preta,1
ué vai São Paulo,0
congelou,1
buffering,1
travou que isso,1
💪💪...,0
tá em 144p 😤,1
juiz horrível cara,0
❤️??,0
roubaram demais pqp,0
quando começa? de novo,0
não toca,1
que narrador bom,0
que comentarista!!!,0
⚽⚽ aqui também,0
gente narrador animado,0
to assistindo kkk,0
mano kkkkkkkk,0
GOOOOOOL absurdo,0
gente sem audio,1
assistindo aqui??,0
gente a imagem congelou,1
black screen pqp,1
kkkkk aqui também,0
que loucura,0
tá sem som que isso,1
depende aqui também,0
😂😂😂,0
não sei...,0
tá travando pessoal,1
olha o goleiro,0
sensacional...,0
áudio atrasado ainda,1
sensacional,0
🤣🤣🤣 absurdo,0
ficando sem áudio aqui tb,1
morreu o áudio gente,1
vai Santos kkk,0
o círculo fica girando pessoal,1
que pintura de novo,0
que narrador bom cara,0
todo mundo 💪💪,0
todo mundo sumiu a narração,1
áudio dessincronizado,1
👍 kk,0
to aqui,0
juiz horrível absurdo,0
o jogador foi bem mano,0
caiu aqui de novo,1
áudio na frente do vídeo áudio na frente do vídeo,1
onde assistir?,0
cara,0
alguém mais ❤️❤️?,0
tela preta,1
comprimido demais,1
buffering demais,1
cheguei pqp,0
demais sempre isso,0
massa,0
tô sem som...,1
tela preta pra mim,1
haha,0
alguém mais sem som aqui?,1
a narração sumiu,1
salve!,0
🔥🔥🔥,0
quando retorna? pqp,0
saiu do ar horrível,1
qualidade baixou absurdo,1
a live voltou,0
vai São Paulo tbm,0
time fraco horrível,0
aqui chegando aqui chegando,0
aqui tá perfeito kkk,0
tá carregando infinito absurdo,1
ué narração boa,0
vai vaaaai sempre isso,0
tá tela preta sempre isso,1
que falha kk,0
vai São Paulo kkk,0
som chiando que isso,1
só eu saiu do ar?,1
áudio na frente do vídeo ainda,1
fica no loading,1
vai Santos,0
não sai do buffer,1
black screen,1
⚽⚽,0
resolveu o som mano,0
socorro 🙌🙌,0
que cabeçada cara,0
sem áudio aqui ainda,1
gente boa!,0
só eu juiz horrível?,0
Corinthians! aqui também,0
a live encerrou do nada,1
som ruim demais 😤,1
socorro que time hein,0
tá em baixíssima qualidade...,1
vai Brasil,0
aqui chegando pra mim também,0
nada a ver,0
cara já voltou,0
dá bug aqui,1
ué o áudio tá chiando,1
voltou a transmissão,0
não carrega mano,1
gente silêncio total,1
🙌🙌,0
golaço kk,0
nao consigo assistir,1
bom dia de novo,0
aqui tá ótimo mano,0
áudio fora de sincronia áudio fora de sincronia,1
áudio adiantado absurdo,1
socorro 💪💪,0
jogada linda gente,0
tá sem narração,1
que interessante pra mim também,0
tá travando muito pqp,1
som atrasado pessoal,1
som estourado cara,1
mano agora voltou o som,0
dá erro toda hora pra mim também,1
o narrador foi 😤,1
que drrible sempre isso,0
o som fica sumindo pessoal,1
não tem som tbm,1
roubaram mano,0
esse juiz e roubado,0
sem áudio,1
vai seleção,0
para toda hora,1
bom dia,0
caiu a live kk,1
o som sumiu,1
gente som caiu,1
Flamengo é o maior,0
o áudio some vez ou outra,1
áudio tá picotando??,1
ué não tem mais som,1
voltou o áudio 😭,0
o carregamento não acaba aqui também,1
som chiando tbm,1
vai Grêmio aqui também,0
que nada a ver,0
bom dia pra mim também,0
boa...,0
borrado demais kkk,1
som adiantado,1
🏆,0
sem narrador aqui tb,1
não ouço nada kk,1
esse juiz é roubado sempre isso,0
recomeçou do zero de novo,1
sem áudio aqui kk,1
cara kk,0
aqui tá liso!!!,0
áudio gaguejando!!!,1
kkk que isso,0
FLA FLA FLA cara,0
a live fechou,1
pra mim tá bom horrível,0
👏👏 mano,0
rsrsrs,0
🔥🔥 cara,0
vai vai vai,0
qualidade ruim,1
alguém mais a live caiu?,1
quem fez o gol? sempre isso,0
não abre horrível,1
cara fica rodando,1
a live caiu a live caiu,1
o áudio tá uns 3s adiantado kk,1
alguém mais som picotando?,1
gente tela preta aqui,1
que lindo,0
não tem áudio,1
dá bug aqui 😭,1
o som tá estourado absurdo,1
só eu áudio duplicado?,1
incrível,0
todo mundo que situação,0
impossível,0
mano o narrador tá ótimo,0
o que houve?,0
o áudio sumiu pqp,1
eco no som kkk,1
só eu o som tá com eco?,1
vídeo travando aqui tb,1
só eu que time?,0
era pênalti,0
massa 😤,0
rsrsrs 😤,0
socorro não entendi,0
video parado,1
desincronizado de novo,1
ué eco enorme,1
nossa kkk,0
roubaram sempre isso,0
não acredito aqui tb,0
Fla campeão horrível,0
todo mundo dois sons ao mesmo tempo,1
só eu quando começa??,0
kkk que isso que isso,0
mano a live recomeçou,1
⚽⚽...,0
o áudio distorceu,1
time bom,0
goleiro ruim cara,0
mano aqui tá normal,0
que erro aqui também,0
incrível de novo,0
rsrs de novo,0
vai Grêmio pessoal,0
ué que chute,0
interessante pessoal,0
o áudio sumiu 😭,1
voltou a live,0
que narrador bom que isso,0
ué buffering demais,1
para toda hora absurdo,1
tá em baixíssima qualidade,1
kkk mano horrível,0
confuso gente,0
que horas começa?!!!,0
audio dessincronizado,1
🎉 kkk,0
😍,0
árbitro favorecendo,0
travando,1
não consegue carregar,1
🔥🔥 pqp,0
boca e voz não tão sincronizados,1
esse juiz é roubado 😭,0
gente o áudio não tá sincronizado,1
mano boa tarde galera,0
tá pixelado,1
time ruim aqui tb,0
que interessante,0
gol!,0
mano tela preta aqui,1
som cortando,1
muito pixelado,1
